tablename,libraryname,format,pure,type,freq,year,mkt,code
SZY2010M01_1,HF2010M,1,0,,1,2010,sz,
SZY2010M02_1,HF2010M,1,0,,1,2010,sz,
SZY2010M03_1,HF2010M,1,0,,1,2010,sz,
SZY2010M04_1,HF2010M,1,0,,1,2010,sz,
SZY2010M05_1,HF2010M,1,0,,1,2010,sz,
SZY2010M06_1,HF2010M,1,0,,1,2010,sz,
SZY2010M07_1,HF2010M,1,0,,1,2010,sz,
SZY2010M08_1,HF2010M,1,0,,1,2010,sz,
SZY2010M09_1,HF2010M,1,0,,1,2010,sz,
SZY2010M10_1,HF2010M,1,0,,1,2010,sz,
SZY2010M11_1,HF2010M,1,0,,1,2010,sz,
SZY2010M12_1,HF2010M,1,0,,1,2010,sz,
SZY2010_10,HF2010M,1,0,,10,2010,sz,
SZY2010_15,HF2010M,1,0,,15,2010,sz,
SZY2010_20,HF2010M,1,0,,20,2010,sz,
SZY2010_30,HF2010M,1,0,,30,2010,sz,
SZY2010_40,HF2010M,1,0,,40,2010,sz,
SZY2010_5,HF2010M,1,0,,5,2010,sz,
SZY2010_60,HF2010M,1,0,,60,2010,sz,
